"Step","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-13_00-40-29_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-13_00-40-29_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-13_00-40-29_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-13_00-40-29_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-13_00-40-29_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-13_00-40-29_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-13_00-40-30_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-13_00-40-30_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-13_00-40-30_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-13_00-32-46_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-13_00-32-46_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-13_00-32-46_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-13_00-32-45_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-13_00-32-45_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-13_00-32-45_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-13_00-32-46_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-13_00-32-46_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-13_00-32-46_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX"
"100","4555.84653623448","4555.84653623448","4555.84653623448","4331.849769683605","4331.849769683605","4331.849769683605","4418.969280717212","4418.969280717212","4418.969280717212","3098.0731808543114","3098.0731808543114","3098.0731808543114","3198.1884846470043","3198.1884846470043","3198.1884846470043","3379.5173182727494","3379.5173182727494","3379.5173182727494","2331.2055034094747","2331.2055034094747","2331.2055034094747","2316.495951945433","2316.495951945433","2316.495951945433","2244.7387241011297","2244.7387241011297","2244.7387241011297","4931.847254936054","4931.847254936054","4931.847254936054","5081.1080108107035","5081.1080108107035","5081.1080108107035","5033.017703042332","5033.017703042332","5033.017703042332"
"110","4743.117608048848","4743.117608048848","4743.117608048848","4588.385047580754","4588.385047580754","4588.385047580754","4374.148398439619","4374.148398439619","4374.148398439619","3489.2115958177733","3489.2115958177733","3489.2115958177733","3228.1573011260875","3228.1573011260875","3228.1573011260875","3883.9632320384335","3883.9632320384335","3883.9632320384335","2433.72869323121","2433.72869323121","2433.72869323121","2242.2314978401128","2242.2314978401128","2242.2314978401128","2511.6930425203814","2511.6930425203814","2511.6930425203814","5026.006405028004","5026.006405028004","5026.006405028004","4905.187811984116","4905.187811984116","4905.187811984116","5109.380653084394","5109.380653084394","5109.380653084394"
"120","4808.692469566597","4808.692469566597","4808.692469566597","4785.643465915111","4785.643465915111","4785.643465915111","4493.793320717476","4493.793320717476","4493.793320717476","3489.7362841206696","3489.7362841206696","3489.7362841206696","3236.8315262662422","3236.8315262662422","3236.8315262662422","3315.845854199038","3315.845854199038","3315.845854199038","2265.3220819808184","2265.3220819808184","2265.3220819808184","2217.9858571023974","2217.9858571023974","2217.9858571023974","2677.934654746717","2677.934654746717","2677.934654746717","5031.960596768574","5031.960596768574","5031.960596768574","5063.076780755341","5063.076780755341","5063.076780755341","5027.421743066583","5027.421743066583","5027.421743066583"
"130","4642.980592873042","4642.980592873042","4642.980592873042","4683.702297106274","4683.702297106274","4683.702297106274","4641.818479655769","4641.818479655769","4641.818479655769","3489.4944760929","3489.4944760929","3489.4944760929","3693.7846590781933","3693.7846590781933","3693.7846590781933","3377.6794821141657","3377.6794821141657","3377.6794821141657","2287.329062048998","2287.329062048998","2287.329062048998","2287.964920657166","2287.964920657166","2287.964920657166","2410.0995151091333","2410.0995151091333","2410.0995151091333","5050.092481186311","5050.092481186311","5050.092481186311","5047.125909201875","5047.125909201875","5047.125909201875","4973.6391108416565","4973.6391108416565","4973.6391108416565"
"140","4797.590680335406","4797.590680335406","4797.590680335406","4938.333213189181","4938.333213189181","4938.333213189181","4773.641597813443","4773.641597813443","4773.641597813443","3615.4345112773426","3615.4345112773426","3615.4345112773426","3377.643016263827","3377.643016263827","3377.643016263827","3668.2613500173356","3668.2613500173356","3668.2613500173356","2422.7811730713456","2422.7811730713456","2422.7811730713456","2208.137633565068","2208.137633565068","2208.137633565068","2392.89273273387","2392.89273273387","2392.89273273387","5132.191561607401","5132.191561607401","5132.191561607401","5060.707906563375","5060.707906563375","5060.707906563375","5094.210881150424","5094.210881150424","5094.210881150424"
"150","4699.73453259146","4699.73453259146","4699.73453259146","4658.64808853159","4658.64808853159","4658.64808853159","4616.416977849384","4616.416977849384","4616.416977849384","3286.28001670697","3286.28001670697","3286.28001670697","3335.5395545099464","3335.5395545099464","3335.5395545099464","3546.2952641875554","3546.2952641875554","3546.2952641875554","2225.113316977306","2225.113316977306","2225.113316977306","2703.4960948733615","2703.4960948733615","2703.4960948733615","2302.526974739275","2302.526974739275","2302.526974739275","5023.253823113533","5023.253823113533","5023.253823113533","5002.2419807898605","5002.2419807898605","5002.2419807898605","5011.229900473692","5011.229900473692","5011.229900473692"
"160","4676.149817404955","4676.149817404955","4676.149817404955","5059.921717774459","5059.921717774459","5059.921717774459","4667.278424045276","4667.278424045276","4667.278424045276","3237.0755032315737","3237.0755032315737","3237.0755032315737","3817.1119824413695","3817.1119824413695","3817.1119824413695","3135.507867914807","3135.507867914807","3135.507867914807","2324.776145298604","2324.776145298604","2324.776145298604","2238.299327637118","2238.299327637118","2238.299327637118","2588.7263694173243","2588.7263694173243","2588.7263694173243","5079.761860591409","5079.761860591409","5079.761860591409","4970.455423531591","4970.455423531591","4970.455423531591","5085.596065086014","5085.596065086014","5085.596065086014"
"170","4734.431730072233","4734.431730072233","4734.431730072233","5067.160962771069","5067.160962771069","5067.160962771069","4979.200578381127","4979.200578381127","4979.200578381127","3492.136077845906","3492.136077845906","3492.136077845906","3849.445151581849","3849.445151581849","3849.445151581849","3383.1919324761548","3383.1919324761548","3383.1919324761548","2349.9894567427423","2349.9894567427423","2349.9894567427423","2363.2724687116956","2363.2724687116956","2363.2724687116956","2517.793268222725","2517.793268222725","2517.793268222725","5006.345711265521","5006.345711265521","5006.345711265521","5061.6802700208045","5061.6802700208045","5061.6802700208045","4992.318673311265","4992.318673311265","4992.318673311265"
"180","4756.481055971505","4756.481055971505","4756.481055971505","4863.343142763768","4863.343142763768","4863.343142763768","4796.282014476238","4796.282014476238","4796.282014476238","3575.087026366945","3575.087026366945","3575.087026366945","3615.4944239055085","3615.4944239055085","3615.4944239055085","3831.7142948193978","3831.7142948193978","3831.7142948193978","2332.3676656895386","2332.3676656895386","2332.3676656895386","2238.378659814594","2238.378659814594","2238.378659814594","2589.4736773936124","2589.4736773936124","2589.4736773936124","4945.416788352573","4945.416788352573","4945.416788352573","4932.018095438941","4932.018095438941","4932.018095438941","5007.603068645332","5007.603068645332","5007.603068645332"
"190","4632.560158767458","4632.560158767458","4632.560158767458","4750.843636577256","4750.843636577256","4750.843636577256","4815.298365031131","4815.298365031131","4815.298365031131","3869.753239683462","3869.753239683462","3869.753239683462","3938.673937253734","3938.673937253734","3938.673937253734","3779.5981971042547","3779.5981971042547","3779.5981971042547","2525.056032108889","2525.056032108889","2525.056032108889","2359.9741856816167","2359.9741856816167","2359.9741856816167","2385.2908749049006","2385.2908749049006","2385.2908749049006","5022.0879053566505","5022.0879053566505","5022.0879053566505","4961.726554116488","4961.726554116488","4961.726554116488","4985.399333101849","4985.399333101849","4985.399333101849"
